Bob NNP PERSON TYPEA SUBJECT
was VBD 0 TYPEA 0
born VBN 0 TYPEA 0
in IN 0 TYPEA 0
New NNP LOC TYPEA BIRTHPLACE
York NNP LOC TYPEA BIRTHPLACE
City NNP LOC TYPEA BIRTHPLACE
, , 0 TYPEA BIRTHPLACE
New NNP LOC TYPEA BIRTHPLACE
York NNP LOC TYPEA BIRTHPLACE
. . 0 TYPEA 0

Sue NNP PERSON TYPEB SUBJECT
was VBD 0 TYPEB 0
born VBN 0 TYPEB 0
in IN 0 TYPEB 0
Chicago NNP LOC TYPEB BIRTHPLACE
. . 0 TYPEB 0

Sue NNP PERSON TYPEA SUBJECT
was VBD 0 TYPEA 0
born VBN 0 TYPEA 0
in IN 0 TYPEA 0
March NNP DATE TYPEA 0
. . 0 TYPEA 0

In IN 0 TYPEA 0
Seattle NNP LOC TYPEA BIRTHPLACE
, , 0 TYPEA 0
Alice NNP PERSON TYPEA SUBJECT
was VBD 0 TYPEA 0
born VBN 0 TYPEA 0
. . 0 TYPEA 0

Joe NNP PERSON TYPEB SUBJECT
met VBN 0 TYPEB 0
Joan NNP PERSON TYPEB 0
in IN 0 TYPEB 0
Paris NNP LOC TYPEB 0
. . 0 TYPEB 0
